label,hand_mode,recorded_hand,R.Thumb,R.Index,R.Middle,R.Ring,R.Pinky,L.Thumb,L.Index,L.Middle,L.Ring,L.Pinky,aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4180,0.4680,-0.8050,0.2610,-0.4950,0.8860,0.9076,0.2869,3.9480,0.0971,-1.7903,-0.6943
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4290,0.4770,-0.8310,0.2620,-0.5050,0.8810,0.7876,3.8469,2.5380,0.7971,-0.3603,0.0257
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4470,0.4840,-0.8450,0.2530,-0.5000,0.8830,-1.5624,3.7769,1.1380,0.1871,-2.6903,-1.4343
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4510,0.4830,-0.8300,0.2630,-0.5030,0.8890,2.9776,6.0569,0.2380,1.0971,-0.4403,-0.0343
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4220,0.4950,-0.8080,0.2600,-0.5000,0.8810,3.2676,2.6169,0.9980,0.1271,2.0897,2.5757
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4080,0.4760,-0.7800,0.2470,-0.5070,0.8740,-1.2224,0.6469,1.2880,0.1171,-2.0603,-1.2643
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4100,0.4760,-0.7730,0.2480,-0.4950,0.8910,3.5976,5.9269,-1.0220,-0.1329,-2.9103,-1.8743
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4090,0.4860,-0.7830,0.2920,-0.5630,0.8930,1.8176,8.2869,-1.5520,-4.0729,4.2497,-1.4543
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4410,0.4950,-0.8160,0.3270,-0.5880,0.8530,7.0976,8.4069,-1.4920,-2.5329,4.5797,1.1557
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4210,0.5000,-0.8090,0.2080,-0.4450,0.9260,6.9976,14.9269,-4.5020,4.4671,1.7997,2.0357
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4600,0.4890,-0.8040,0.2420,-0.5300,0.9300,3.3576,2.3469,-1.1220,5.8371,5.1197,1.7057
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4390,0.4840,-0.7880,0.2850,-0.5260,0.8900,3.3376,-0.7131,0.5880,-0.3629,3.9897,1.9857
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4540,0.4740,-0.7920,0.2750,-0.5090,0.8760,1.6976,-1.4431,0.4080,-0.0029,0.1897,0.1357
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4200,0.4570,-0.7780,0.2480,-0.4680,0.8690,2.5676,-0.3131,2.0180,1.6471,0.6997,2.1357
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4340,0.4810,-0.7800,0.2910,-0.5080,0.8790,1.1276,-0.9331,2.0580,1.1571,-2.3403,1.3257
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4530,0.4710,-0.7870,0.3060,-0.5070,0.8910,1.5776,5.1569,-1.6320,-1.3829,-0.7703,1.0557
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4490,0.5050,-0.7920,0.2890,-0.4910,0.8780,-1.1624,2.6569,-0.2720,0.3571,-1.0103,-0.1343
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4630,0.4740,-0.8210,0.2600,-0.4950,0.8820,-1.1624,-4.3631,1.2680,0.4571,1.1997,1.8357
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4410,0.4910,-0.7960,0.2660,-0.5030,0.8730,3.1976,-1.9631,3.0280,-0.6629,-0.0703,0.8457
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4440,0.4630,-0.7850,0.2730,-0.5070,0.8670,-2.7124,-8.8431,-0.0020,0.9371,-1.2803,-0.2643
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4230,0.4490,-0.7620,0.2850,-0.5030,0.8750,-0.6424,-3.3231,3.1780,0.2971,-0.5003,0.2457
GOOD,either_hand,right,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4290,0.4710,-0.7740,0.2680,-0.4890,0.8820,-6.0924,-5.4631,1.4780,0.3771,-1.1903,-0.3543
